pid,model,price,country_code,country,region,income group,scraped_date
10,Bracelet Sport,49 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
11,iPad,À partir de 389 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
12,iPad Pro,À partir de 899 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
13,Apple Pencil (2ᵉ génération),135 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
14,iMac 24 pouces²,À partir de 1 449 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
15,MacBook Air,À partir de 1 129 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
16,Magic Mouse,85 €,fr,France,Europe & Central Asia,High income,2022-01-02 21:52:19.284673
0,iPhone 13,Induló ár: 294 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
1,iPhone SE,Induló ár: 174 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
2,iPhone 12,Induló ár: 249 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
3,AirPods(3. generáció),74 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
4,AirPods Pro,99 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
5,AirPods(2. generáció),52 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
6,Apple TV HD,59 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
7,Apple TV 4K,71 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
8,Apple Watch SE,Induló ár: 109 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
9,Apple Watch Series 3,Induló ár: 77 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
10,Sportszíj,17 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
11,iPad,Induló ár: 134 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
12,iPad Pro,Induló ár: 324 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
13,Apple Pencil (második generáció),49 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
14,24 hüvelykes iMac²,Induló ár: 539 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
15,MacBook Air,Induló ár: 429 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
16,Magic Mouse,34 990 Ft,hu,Hungary,Europe & Central Asia,High income,2022-01-02 21:52:20.418188
0,iPhone 13,From ₹69900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
1,iPhone SE,From ₹39900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
2,iPhone 12,From ₹59900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
3,AirPods(3rd generation),₹18500.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
4,AirPods Pro,₹24900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
5,AirPods(2nd generation),₹12900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
6,AirPods Max,₹59900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
7,Apple TV 4K,From ₹18900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
8,Apple TV HD,From ₹15900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
9,Apple Watch SE,From ₹29900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
10,Apple Watch Series 3,From ₹20900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
11,Sport Band,₹3900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
12,iPad,From ₹30900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
13,iPad Pro,From ₹71900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
14,Apple Pencil (2nd generation),₹10900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
15,24-inch iMac²,From ₹119900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
16,MacBook Air,From ₹92900.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
17,Magic Mouse,₹7500.00‡,in,India,South Asia,Lower middle income,2022-01-02 21:52:21.513688
0,iPhone 13,From €829,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
1,iPhone SE,From €499,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
2,iPhone 12,From €709,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
3,AirPods(3rd generation),€199,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
4,AirPods Pro,€279,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
5,AirPods(2nd generation),€149,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
6,AirPods Max,€629,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
7,Apple TV 4K,€199,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
8,Apple Watch SE,From €299,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
9,Apple Watch Series 3,From €219,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
10,Sport Band,€49,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
11,iPad,From €399,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
12,iPad Pro,From €909,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
13,Apple Pencil (2nd generation),€135,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
14,24-inch iMac²,"From €1,499",ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
15,MacBook Air,"From €1,129",ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
16,Magic Mouse,€85,ie,Ireland,Europe & Central Asia,High income,2022-01-02 21:52:22.791120
0,iPhone 13 Pro,da € 1.189,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
1,iPhone SE,da € 499,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
2,iPhone 12,da € 719,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
3,AirPods(terza generazione),€ 199,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
4,AirPods Pro,€ 279,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
5,AirPods(seconda generazione),€ 149,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
6,AirPods Max,€ 629,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
7,Apple TV 4K,€ 199,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
8,Carta regalo Apple Store,Acquista una carta regalo App Store,it,Italy,Europe & Central Asia,High income,2022-01-02 21:52:24.622852
